 0.0 	 8.422082e-08 
 0.1 	 8.412398e-08 
 50.0 	 8.019788e-08 
 100.0 	 7.783132e-08 
 150.0 	 7.564272e-08 
 200.0 	 7.359367e-08 
 400.0 	 6.623723e-08 
 600.0 	 5.999625e-08 
 800.0 	 5.457581e-08 
 1100.0 	 4.760850e-08 
 1400.0 	 4.167917e-08 
 1700.0 	 3.647652e-08 
 2000.0 	 3.188564e-08 
 2500.0 	 2.519639e-08 
 3000.0 	 1.936522e-08 
 3500.0 	 1.414612e-08 
 4000.0 	 9.348727e-09 
 4500.0 	 4.891758e-09 
 5000.0 	 6.827369e-10 
 5500.0 	 -3.310335e-09 
 6000.0 	 -7.146320e-09 
 6500.0 	 -1.085966e-08 
 7000.0 	 -1.443075e-08 
 7500.0 	 -1.788075e-08 
 8000.0 	 -2.128002e-08 
 8500.0 	 -2.454395e-08 
 9000.0 	 -2.768914e-08 
 9500.0 	 -3.073533e-08 
 10000.0 	 -3.371953e-08 
 10500.0 	 -3.658284e-08 
 11000.0 	 -3.931285e-08 
